PlayerKey,StrikerName,Nationality,TeamCode,Extras,TotalRuns,Balls,Dotballs,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,Id,Player_Name,Team,Credit_Point,Role,Speciality,RightHandedBat,Matches,Innings,StrikeRate,Ones,Twos,Threes,Fours,Sixes,BowlerName,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets
abishekporel,Abishek Porel,Indian,DC,4.0,265.0,177.0,48.0,27.11,3.68,4.91,61.13,2.05,129.0,10.0,1.0,265.0,1.0,0.0,0.0,51,26.50,2.0,0.0,29.0,Abishek Porel,DC,7.5,WK,,False,11.0,11.0,149.71,83.0,10.0,0.0,27.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akashmadhwal,Akash Madhwal,Indian,RR,0.0,4.0,9.0,5.0,55.55,1.8,0.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,4*,-,0.0,0.0,25.0,Akash Madhwal,RR,6.0,BOWL,right arm fast medium,True,2.0,1.0,44.44,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anshulkamboj,Anshul Kamboj,Indian,CSK,1.0,9.0,9.0,5.0,55.55,1.8,9.0,44.44,2.25,4.0,2.0,2.0,4.5,0.0,0.0,0.0,4*,4.50,0.0,0.0,23.0,Anshul Kamboj,CSK,6.5,BOWL,right arm medium,True,6.0,4.0,100.0,1.0,2.0,0.0,1.0,0.0,Anshul Kamboj,96.0,138.0,39.0,40.62,58.0,34.5,24.0,69.56,4.57,8.62,16.0,0.0,1.0,0.0,1.0,4.0,16.0,1.0,16.0,1.0,16/1,16/1,0.0,0.0,0.0,0.0,0.0
ashutoshsharma,Ashutosh Sharma,Indian,DC,15.0,186.0,111.0,31.0,27.92,3.58,4.44,66.66,2.32,80.0,6.0,2.0,93.0,1.0,0.0,0.0,66*,31.00,2.0,0.0,35.0,Ashutosh Sharma,DC,7.0,BAT,,True,10.0,8.0,167.56,48.0,7.0,0.0,13.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwanikumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashwani Kumar,72.0,133.0,22.0,30.55,54.0,16.62,9.0,70.67,3.78,11.08,12.0,3.0,1.0,0.0,1.0,8.0,24.0,4.0,24.0,4.0,24/4,24/4,0.0,0.0,1.0,0.0,0.0
axarpatel,Axar Patel,Indian,DC,5.0,238.0,151.0,50.0,33.11,3.02,4.31,70.58,2.35,101.0,9.0,1.0,238.0,0.0,0.0,0.0,43,26.44,4.0,0.0,38.0,Axar Patel,DC,8.5,AR,Slow left-arm orthodox,False,11.0,10.0,157.61,62.0,4.0,0.0,21.0,14.0,Axar Patel,186.0,253.0,60.0,32.25,129.0,50.6,37.2,58.49,6.0,8.16,31.0,3.0,0.0,1.0,0.0,5.0,19.0,2.0,19.0,2.0,19/2,19/2,0.0,0.0,0.0,0.0,0.0
ayushmhatre,Ayush Mhatre,Indian,CSK,3.0,163.0,90.0,26.0,28.88,3.46,3.33,74.84,2.54,64.0,5.0,0.0,,1.0,0.0,0.0,94,32.60,3.0,0.0,4.0,Ayush Mhatre,CSK,7.0,BAT,,True,5.0,5.0,181.11,33.0,4.0,0.0,20.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corbinbosch,Corbin Bosch,Overseas,MI,0.0,47.0,32.0,12.0,37.5,2.66,5.33,63.82,2.35,20.0,2.0,0.0,,0.0,0.0,0.0,27,23.50,2.0,0.0,41.0,Corbin Bosch,MI,6.5,AR,Right-arm fast medium,True,2.0,2.0,146.87,11.0,3.0,0.0,3.0,3.0,Corbin Bosch,42.0,55.0,24.0,57.14,21.0,55.0,42.0,72.72,5.25,7.85,7.0,3.0,0.0,0.0,1.0,1.0,26.0,1.0,26.0,1.0,26/1,26/1,0.0,0.0,0.0,0.0,0.0
deepakchahar,Deepak Chahar,Indian,MI,1.0,37.0,25.0,9.0,36.0,2.77,5.0,64.86,2.31,16.0,1.0,3.0,12.33,0.0,0.0,0.0,28*,37.00,2.0,0.0,45.0,Deepak Chahar,MI,7.5,BOWL,Right-arm medium,True,12.0,4.0,148.0,9.0,2.0,0.0,3.0,2.0,Deepak Chahar,210.0,326.0,90.0,42.85,136.0,32.6,21.0,66.25,4.37,9.31,35.0,14.0,2.0,0.0,2.0,10.0,12.0,2.0,12.0,2.0,12/2,12/2,0.0,0.0,0.0,0.0,0.0
devonconway,Devon Conway,Overseas,CSK,13.0,94.0,76.0,26.0,34.21,2.92,6.9,51.06,1.88,50.0,4.0,0.0,,1.0,0.0,0.0,69,23.50,2.0,0.0,10.0,Devon Conway,CSK,6.5,WK,,False,4.0,4.0,123.68,32.0,7.0,0.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dewaldbrevis,Dewald Brevis,Overseas,CSK,3.0,126.0,77.0,24.0,31.16,3.2,4.81,65.07,2.37,53.0,4.0,0.0,,1.0,0.0,0.0,52,31.50,5.0,0.0,6.0,Dewald Brevis,CSK,6.5,BAT,,True,4.0,4.0,163.63,30.0,7.0,0.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhruvjurel,Dhruv Jurel,Indian,RR,8.0,249.0,170.0,55.0,32.35,3.09,5.31,63.45,2.16,115.0,8.0,3.0,83.0,1.0,0.0,0.0,70,31.13,6.0,0.0,9.0,Dhruv Jurel,RR,8.0,WK,,True,12.0,11.0,146.47,75.0,8.0,0.0,17.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dushmanthachameera,Dushmantha Chameera,Overseas,DC,1.0,2.0,4.0,2.0,50.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2*,-,1.0,0.0,50.0,Dushmantha Chameera,DC,6.5,BOWL,Right-arm fast,True,4.0,2.0,50.0,2.0,0.0,0.0,0.0,0.0,Dushmantha Chameera,54.0,95.0,11.0,20.37,50.0,31.66,18.0,54.73,4.9,10.55,9.0,7.0,0.0,0.0,0.0,3.0,24.0,1.0,24.0,1.0,24/1,24/1,0.0,0.0,0.0,0.0,0.0
fafduplessis,Faf Du Plessis,Overseas,DC,20.0,168.0,131.0,49.0,37.4,2.67,5.95,60.71,2.04,82.0,6.0,0.0,,2.0,0.0,0.0,62,28.00,3.0,0.0,34.0,Faf Du Plessis,DC,7.5,BAT,,True,6.0,6.0,128.24,54.0,6.0,0.0,15.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fazalhaqfarooqi,Fazalhaq Farooqi,Overseas,RR,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2*,-,0.0,0.0,24.0,Fazalhaq Farooqi,RR,6.5,BOWL,left arm fast medium,True,4.0,1.0,100.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardikpandya,Hardik Pandya,Indian,MI,6.0,158.0,94.0,26.0,27.65,3.61,4.27,64.55,2.32,68.0,6.0,2.0,79.0,0.0,0.0,0.0,48*,26.33,2.0,0.0,37.0,Hardik Pandya,MI,9.0,AR,Right-arm medium fast,True,11.0,8.0,168.08,36.0,10.0,0.0,15.0,7.0,Hardik Pandya,168.0,257.0,59.0,35.11,127.0,19.76,12.92,59.92,5.25,9.17,28.0,15.0,3.0,1.0,2.0,13.0,36.0,5.0,36.0,5.0,36/5,36/5,0.0,0.0,0.0,1.0,0.0
jaspritbumrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jasprit Bumrah,192.0,214.0,84.0,43.75,112.0,16.46,14.76,56.07,7.38,6.68,32.0,4.0,0.0,0.0,4.0,13.0,22.0,4.0,22.0,4.0,22/4,22/4,0.0,0.0,1.0,0.0,0.0
karnsharma,Karn Sharma,Indian,MI,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1*,-,1.0,0.0,47.0,Karn Sharma,MI,7.0,BOWL,Leg break googly,False,5.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,Karn Sharma,72.0,97.0,23.0,31.94,50.0,16.16,12.0,55.67,6.54,8.08,12.0,1.0,0.0,0.0,5.0,6.0,23.0,3.0,23.0,3.0,23/3,23/3,0.0,0.0,0.0,0.0,0.0
khaleelahmed,Khaleel Ahmed,Indian,CSK,0.0,1.0,2.0,1.0,50.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.5,0.0,0.0,0.0,1*,-,1.0,0.0,19.0,Khaleel Ahmed,CSK,8.0,BOWL,left arm fast medium,True,12.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,Khaleel Ahmed,244.0,395.0,119.0,48.77,134.0,28.21,17.42,78.98,3.69,9.71,40.4,6.0,3.0,1.0,5.0,14.0,29.0,3.0,29.0,3.0,29/3,29/3,0.0,0.0,0.0,0.0,0.0
klrahul,K L Rahul,Indian,DC,11.0,381.0,268.0,76.0,28.35,3.52,5.82,56.69,1.98,192.0,8.0,2.0,190.5,3.0,0.0,0.0,93*,47.63,3.0,0.0,28.0,K L Rahul,DC,9.0,WK,,True,10.0,10.0,142.16,127.0,19.0,0.0,30.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuldeepyadav,Kuldeep Yadav,Indian,DC,0.0,11.0,8.0,3.0,37.5,2.66,4.0,72.72,2.2,5.0,2.0,2.0,5.5,0.0,0.0,0.0,5,5.50,0.0,0.0,43.0,Kuldeep Yadav,DC,8.5,BOWL,Left-arm wrist spin,False,11.0,4.0,137.5,3.0,0.0,0.0,2.0,0.0,Kuldeep Yadav,234.0,263.0,87.0,37.17,149.0,21.91,19.5,47.14,8.66,6.74,39.0,2.0,0.0,0.0,1.0,12.0,22.0,3.0,22.0,3.0,22/3,22/3,0.0,0.0,0.0,0.0,0.0
maheeshtheekshana,Maheesh Theekshana,Overseas,RR,4.0,10.0,27.0,17.0,62.96,1.58,0.0,0.0,1.0,10.0,2.0,2.0,5.0,0.0,0.0,0.0,5,5.00,0.0,0.0,21.0,Maheesh Theekshana,RR,7.0,BOWL,off break,True,11.0,4.0,37.03,10.0,0.0,0.0,0.0,0.0,Maheesh Theekshana,252.0,410.0,72.0,28.57,199.0,37.27,22.9,58.53,4.75,9.76,42.0,17.0,2.0,0.0,2.0,11.0,26.0,2.0,26.0,2.0,26/2,26/2,0.0,0.0,0.0,0.0,0.0
matheeshapathirana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matheesha Pathirana,220.0,373.0,70.0,31.81,180.0,31.08,18.33,57.9,5.11,10.17,36.4,29.0,1.0,1.0,5.0,12.0,36.0,3.0,36.0,3.0,36/3,36/3,0.0,0.0,0.0,0.0,0.0
msdhoni,MS Dhoni,Indian,CSK,15.0,180.0,128.0,42.0,32.81,3.04,5.56,63.33,2.09,86.0,7.0,5.0,36.0,0.0,0.0,0.0,30*,25.71,5.0,5.0,7.0,MS Dhoni,CSK,7.0,WK,,True,12.0,12.0,140.62,60.0,3.0,0.0,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mukeshkumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mukesh Kumar,189.0,311.0,66.0,34.92,137.0,34.55,21.0,65.59,4.39,9.87,31.3,12.0,2.0,0.0,3.0,9.0,33.0,4.0,33.0,4.0,33/4,33/4,1.0,1.0,1.0,0.0,0.0
namandhir,Naman Dhir,Indian,MI,8.0,162.0,94.0,25.0,26.59,3.76,4.08,66.66,2.34,69.0,5.0,3.0,54.0,0.0,0.0,0.0,46,32.40,12.0,0.0,36.0,Naman Dhir,MI,7.0,BAT,,True,12.0,8.0,172.34,40.0,5.0,0.0,15.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noorahmad,Noor Ahmad,Overseas,CSK,0.0,5.0,16.0,12.0,75.0,1.33,0.0,0.0,1.25,4.0,4.0,1.0,5.0,0.0,0.0,0.0,2,1.25,2.0,0.0,18.0,Noor Ahmad,CSK,8.5,BOWL,left arm wrist spin,True,12.0,5.0,31.25,3.0,1.0,0.0,0.0,0.0,Noor Ahmad,258.0,345.0,91.0,35.27,177.0,17.25,12.9,56.23,6.29,8.02,43.0,8.0,2.0,4.0,3.0,20.0,18.0,4.0,18.0,4.0,18/4,18/4,0.0,0.0,2.0,0.0,0.0
ntilakvarma,N Tilak Varma,Indian,MI,15.0,246.0,177.0,57.0,32.2,3.1,5.9,56.91,2.05,120.0,7.0,2.0,123.0,2.0,0.0,0.0,59,35.14,8.0,0.0,32.0,N Tilak Varma,MI,8.0,BAT,,False,12.0,9.0,138.98,76.0,12.0,2.0,20.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ravichandranashwin,Ravichandran Ashwin,Indian,CSK,1.0,20.0,22.0,10.0,45.45,2.2,11.0,40.0,1.66,12.0,3.0,0.0,,0.0,0.0,0.0,11,6.67,3.0,0.0,15.0,Ravichandran Ashwin,CSK,6.5,AR,off break,True,8.0,3.0,90.9,8.0,2.0,0.0,2.0,0.0,Ravichandran Ashwin,162.0,242.0,51.0,31.48,114.0,48.4,32.4,62.8,5.22,8.96,27.0,3.0,0.0,0.0,3.0,5.0,48.0,2.0,48.0,2.0,48/2,48/2,0.0,0.0,0.0,0.0,0.0
ravindrajadeja,Ravindra Jadeja,Indian,CSK,8.0,279.0,199.0,54.0,27.13,3.68,6.03,53.76,1.92,145.0,8.0,4.0,69.75,2.0,0.0,0.0,77*,34.88,5.0,0.0,12.0,Ravindra Jadeja,CSK,8.5,AR,slow left arm orthdox,False,12.0,12.0,140.2,95.0,17.0,0.0,24.0,9.0,Ravindra Jadeja,197.0,280.0,69.0,35.02,133.0,35.0,24.62,60.0,5.62,8.52,32.5,3.0,2.0,0.0,1.0,8.0,24.0,2.0,24.0,2.0,24/2,24/2,0.0,0.0,0.0,0.0,0.0
riyanparag,Riyan Parag,Indian,RR,11.0,377.0,221.0,69.0,31.22,3.2,4.16,70.02,2.48,152.0,10.0,2.0,188.5,1.0,0.0,0.0,95,37.70,7.0,0.0,13.0,Riyan Parag,RR,8.5,AR,off break,True,12.0,12.0,170.58,85.0,14.0,0.0,27.0,26.0,Riyan Parag,90.0,118.0,22.0,24.44,71.0,59.0,45.0,40.67,9.0,7.86,15.0,3.0,0.0,0.0,1.0,2.0,12.0,1.0,12.0,1.0,12/1,12/1,0.0,0.0,0.0,0.0,0.0
rohitsharma,Rohit Sharma,Indian,MI,12.0,300.0,197.0,76.0,38.57,2.59,4.37,71.33,2.47,121.0,10.0,1.0,300.0,3.0,0.0,0.0,76*,30.00,1.0,0.0,31.0,Rohit Sharma,MI,8.5,BAT,,True,11.0,11.0,152.28,66.0,10.0,0.0,28.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ryanrickelton,Ryan Rickelton,Overseas,MI,14.0,336.0,219.0,92.0,42.0,2.38,3.84,76.78,2.64,127.0,11.0,1.0,336.0,3.0,0.0,0.0,62*,30.55,10.0,3.0,27.0,Ryan Rickelton,MI,8.5,WK,,False,12.0,12.0,153.42,62.0,8.0,0.0,42.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samcurran,Sam Curran,Overseas,CSK,7.0,114.0,84.0,28.0,33.33,3.0,5.6,59.64,2.03,56.0,5.0,0.0,,1.0,0.0,0.0,88,22.80,3.0,0.0,16.0,Sam Curran,CSK,7.0,AR,left arm medium fast,False,5.0,5.0,135.71,36.0,5.0,0.0,11.0,4.0,Sam Curran,72.0,133.0,18.0,25.0,56.0,133.0,72.0,69.17,3.78,11.08,12.0,2.0,0.0,0.0,2.0,1.0,34.0,1.0,34.0,1.0,34/1,34/1,0.0,0.0,0.0,0.0,0.0
sameerrizvi,Sameer Rizvi,Indian,DC,3.0,24.0,19.0,7.0,36.84,2.71,6.33,58.33,2.0,12.0,2.0,0.0,,0.0,0.0,0.0,20,12.00,0.0,0.0,52.0,Sameer Rizvi,DC,6.0,BAT,,True,2.0,2.0,126.31,8.0,1.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanjusamson,Sanju Samson,Indian,RR,6.0,224.0,156.0,57.0,36.53,2.73,4.72,67.85,2.26,99.0,6.0,1.0,224.0,1.0,0.0,0.0,66,37.33,2.0,1.0,8.0,Sanju Samson,RR,8.5,WK,,True,7.0,7.0,143.58,61.0,4.0,1.0,23.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shimronhetmyer,Shimron Hetmyer,Overseas,RR,14.0,216.0,147.0,44.0,29.93,3.34,5.88,55.55,2.09,103.0,10.0,1.0,216.0,1.0,0.0,0.0,52,21.60,10.0,0.0,5.0,Shimron Hetmyer,CSK,7.0,BAT,,False,12.0,11.0,146.93,60.0,18.0,0.0,15.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shivamdube,Shivam Dube,Indian,CSK,20.0,301.0,230.0,83.0,36.08,2.77,6.21,60.46,2.04,147.0,9.0,3.0,100.33,1.0,0.0,0.0,50,33.44,2.0,0.0,2.0,Shivam Dube,CSK,8.0,BAT,,False,12.0,12.0,130.86,101.0,9.0,0.0,20.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shubhamdubey,Shubham Dubey,Indian,RR,2.0,99.0,59.0,20.0,33.89,2.95,4.21,72.72,2.53,39.0,4.0,3.0,33.0,0.0,0.0,0.0,34*,24.75,1.0,0.0,17.0,Shubham Dubey,RR,6.0,BAT,,False,8.0,7.0,167.79,23.0,2.0,0.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suryakumaryadav,Surya Kumar Yadav,Indian,MI,11.0,510.0,299.0,90.0,30.1,3.32,3.88,70.58,2.44,209.0,8.0,4.0,127.5,3.0,0.0,0.0,68*,63.75,4.0,0.0,30.0,Surya Kumar Yadav,MI,9.0,BAT,,True,12.0,12.0,170.56,114.0,18.0,0.0,51.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trentboult,Trent Boult,Overseas,MI,1.0,2.0,3.0,1.0,33.33,3.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1*,2.00,1.0,0.0,44.0,Trent Boult,MI,8.5,BOWL,Left-arm fast medium,True,12.0,2.0,66.66,2.0,0.0,0.0,0.0,0.0,Trent Boult,253.0,358.0,97.0,38.33,165.0,19.88,14.05,62.01,5.27,8.49,42.1,9.0,0.0,0.0,2.0,18.0,26.0,4.0,26.0,4.0,26/4,26/4,0.0,0.0,1.0,0.0,0.0
tristanstubbs,Tristan Stubbs,Overseas,DC,4.0,259.0,171.0,36.0,21.05,4.75,5.34,56.37,1.91,135.0,5.0,5.0,51.8,0.0,0.0,0.0,41*,51.80,7.0,0.0,33.0,Tristan Stubbs,DC,8.0,BAT,,True,11.0,10.0,151.46,93.0,10.0,0.0,23.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tushardeshpande,Tushar Deshpande,Indian,RR,4.0,7.0,8.0,3.0,37.5,2.66,0.0,0.0,1.4,5.0,1.0,3.0,2.33,0.0,0.0,0.0,3,7.00,1.0,0.0,22.0,Tushar Deshpande,RR,7.0,BOWL,right arm medium,False,8.0,4.0,87.5,3.0,2.0,0.0,0.0,0.0,Tushar Deshpande,144.0,270.0,40.0,27.77,123.0,45.0,24.0,63.7,3.89,11.25,24.0,19.0,0.0,0.0,1.0,6.0,44.0,3.0,44.0,3.0,44/3,44/3,0.0,0.0,0.0,0.0,0.0
urvilpatel,Urvil Patel,Indian,CSK,1.0,31.0,11.0,3.0,27.27,3.66,2.2,90.32,3.87,8.0,1.0,0.0,,0.0,0.0,0.0,31,31.00,0.0,0.0,11.0,Urvil Patel,CSK,5.0,WK,,True,1.0,1.0,281.81,3.0,0.0,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vaibhavsuryavanshi,Vaibhav Suryavanshi,Indian,RR,6.0,155.0,74.0,30.0,40.54,2.46,2.84,87.74,3.52,44.0,5.0,0.0,,0.0,1.0,0.0,101,31.00,0.0,0.0,3.0,Vaibhav Suryavanshi,RR,7.5,BAT,,False,5.0,5.0,209.45,17.0,1.0,0.0,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viprajnigam,Vipraj Nigam,Indian,DC,5.0,122.0,68.0,22.0,32.35,3.09,3.57,73.77,2.65,46.0,6.0,1.0,122.0,0.0,0.0,0.0,39,20.33,2.0,0.0,40.0,Vipraj Nigam,DC,7.5,AR,Leg break,True,11.0,7.0,179.41,24.0,2.0,0.0,12.0,7.0,Vipraj Nigam,162.0,256.0,57.0,35.18,113.0,28.44,18.0,64.84,4.9,9.48,27.0,4.0,4.0,0.0,4.0,9.0,18.0,2.0,18.0,2.0,18/2,18/2,0.0,0.0,0.0,0.0,0.0
waninduhasaranga,Wanindu Hasaranga,Overseas,RR,0.0,9.0,14.0,7.0,50.0,2.0,0.0,0.0,1.28,7.0,4.0,0.0,,0.0,0.0,0.0,4,2.25,2.0,0.0,14.0,Wanindu Hasaranga,RR,7.5,AR,leg break,True,9.0,4.0,64.28,5.0,2.0,0.0,0.0,0.0,Wanindu Hasaranga,204.0,311.0,53.0,25.98,154.0,31.1,20.4,58.52,5.51,9.14,34.0,3.0,0.0,1.0,4.0,10.0,35.0,4.0,35.0,4.0,35/4,35/4,0.0,0.0,1.0,0.0,0.0
willjacks,Will Jacks,Overseas,MI,6.0,195.0,151.0,56.0,37.08,2.69,5.8,62.56,2.05,95.0,8.0,1.0,195.0,1.0,0.0,0.0,53,24.38,6.0,0.0,39.0,Will Jacks,MI,8.0,AR,Off break,True,11.0,9.0,129.13,65.0,4.0,0.0,17.0,9.0,Will Jacks,72.0,93.0,28.0,38.88,48.0,18.6,14.4,53.76,6.54,7.75,12.0,4.0,0.0,0.0,0.0,5.0,14.0,2.0,14.0,2.0,14/2,14/2,0.0,0.0,0.0,0.0,0.0
yashasvijaiswal,Yashasvi Jaiswal,Indian,RR,19.0,473.0,306.0,110.0,35.94,2.78,4.3,70.61,2.41,196.0,11.0,1.0,473.0,5.0,0.0,0.0,75,43.00,8.0,0.0,1.0,Yashasvi Jaiswal,RR,9.0,BAT,,False,12.0,12.0,154.57,112.0,12.0,1.0,46.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
