Id,Player_Name,Team,Credit_Point,Role,Speciality,StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID
1,Yashasvi Jaiswal,RR,9.0,BAT,,Yashasvi Jaiswal,533.0,12.0,0000-00-00,False,Indian,203.0,2020-100mb00000000533-e895f279639811,18.0,RR,Rajasthan Royals,203.0,18.0,2020-100mb00000000533-e895f279639811,12.0,19.0,473.0,306.0,110.0,154.57,35.94,2.78,4.3,70.61,2.41,196.0,112.0,12.0,1.0,46.0,25.0,11.0,1.0,473.0,5.0,0.0,0.0,75,43.00,8.0,0.0,13538.0
2,Shivam Dube,CSK,8.0,BAT,,Shivam Dube,211.0,12.0,0000-00-00,False,Indian,203.0,2019-100mb00000000211-dc1f6a2544bb11,13.0,CSK,Chennai Super Kings,203.0,13.0,2019-100mb00000000211-dc1f6a2544bb11,12.0,20.0,301.0,230.0,83.0,130.86,36.08,2.77,6.21,60.46,2.04,147.0,101.0,9.0,0.0,20.0,17.0,9.0,3.0,100.33,1.0,0.0,0.0,50,33.44,2.0,0.0,5431.0
3,Vaibhav Suryavanshi,RR,7.5,BAT,,Vaibhav Suryavanshi,3498.0,5.0,0000-00-00,False,Indian,203.0,2024-100mb00000003498-c9c3dc7da24b11,18.0,RR,Rajasthan Royals,203.0,18.0,2024-100mb00000003498-c9c3dc7da24b11,5.0,6.0,155.0,74.0,30.0,209.45,40.54,2.46,2.84,87.74,3.52,44.0,17.0,1.0,0.0,10.0,16.0,5.0,0.0,,0.0,1.0,0.0,101,31.00,0.0,0.0,22203.0
4,Ayush Mhatre,CSK,7.0,BAT,,Ayush Mhatre,3497.0,5.0,0000-00-00,True,Indian,203.0,2024-100mb00000003497-dc521b85a24811,13.0,CSK,Chennai Super Kings,203.0,13.0,2024-100mb00000003497-dc521b85a24811,5.0,3.0,163.0,90.0,26.0,181.11,28.88,3.46,3.33,74.84,2.54,64.0,33.0,4.0,0.0,20.0,7.0,5.0,0.0,,1.0,0.0,0.0,94,32.60,3.0,0.0,22377.0
5,Shimron Hetmyer,CSK,7.0,BAT,,Shimron Hetmyer,210.0,12.0,0000-00-00,False,Overseas,203.0,2019-100mb00000000210-b8addb3444bb11,18.0,RR,Rajasthan Royals,203.0,18.0,2019-100mb00000000210-b8addb3444bb11,11.0,14.0,216.0,147.0,44.0,146.93,29.93,3.34,5.88,55.55,2.09,103.0,60.0,18.0,0.0,15.0,10.0,10.0,1.0,216.0,1.0,0.0,0.0,52,21.60,10.0,0.0,1705.0
6,Dewald Brevis,CSK,6.5,BAT,,Dewald Brevis,797.0,4.0,2003-04-29,True,Overseas,203.0,202265c5509b72a911ec8ab502ab46c,13.0,CSK,Chennai Super Kings,203.0,13.0,202265c5509b72a911ec8ab502ab46c,4.0,3.0,126.0,77.0,24.0,163.63,31.16,3.2,4.81,65.07,2.37,53.0,30.0,7.0,0.0,7.0,9.0,4.0,0.0,,1.0,0.0,0.0,52,31.50,5.0,0.0,20593.0
7,MS Dhoni,CSK,7.0,WK,,MS Dhoni,57.0,12.0,0000-00-00,True,Indian,203.0,2019-100mb00000000057-57100cf415ba11,13.0,CSK,Chennai Super Kings,203.0,13.0,2019-100mb00000000057-57100cf415ba11,12.0,15.0,180.0,128.0,42.0,140.62,32.81,3.04,5.56,63.33,2.09,86.0,60.0,3.0,0.0,12.0,11.0,7.0,5.0,36.0,0.0,0.0,0.0,30*,25.71,5.0,5.0,1.0
8,Sanju Samson,RR,8.5,WK,,Sanju Samson,190.0,7.0,0000-00-00,True,Indian,203.0,2019-100mb00000000190-c62cbae544b711,18.0,RR,Rajasthan Royals,203.0,18.0,2019-100mb00000000190-c62cbae544b711,7.0,6.0,224.0,156.0,57.0,143.58,36.53,2.73,4.72,67.85,2.26,99.0,61.0,4.0,1.0,23.0,10.0,6.0,1.0,224.0,1.0,0.0,0.0,66,37.33,2.0,1.0,258.0
9,Dhruv Jurel,RR,8.0,WK,,Dhruv Jurel,1004.0,12.0,0000-00-00,True,Indian,203.0,2022-100mb00000001004-da6e207ea44e11,18.0,RR,Rajasthan Royals,203.0,18.0,2022-100mb00000001004-da6e207ea44e11,11.0,8.0,249.0,170.0,55.0,146.47,32.35,3.09,5.31,63.45,2.16,115.0,75.0,8.0,0.0,17.0,15.0,8.0,3.0,83.0,1.0,0.0,0.0,70,31.13,6.0,0.0,20620.0
10,Devon Conway,CSK,6.5,WK,,Devon Conway,601.0,4.0,0000-00-00,False,Overseas,203.0,2021-100mb00000000601-517399b0ceaf11,13.0,CSK,Chennai Super Kings,203.0,13.0,2021-100mb00000000601-517399b0ceaf11,4.0,13.0,94.0,76.0,26.0,123.68,34.21,2.92,6.9,51.06,1.88,50.0,32.0,7.0,0.0,9.0,2.0,4.0,0.0,,1.0,0.0,0.0,69,23.50,2.0,0.0,20572.0
11,Urvil Patel,CSK,5.0,WK,,Urvil Patel,1486.0,1.0,0000-00-00,True,Indian,203.0,2022-100mb00000001486-1a1e0ee4543611,13.0,CSK,Chennai Super Kings,203.0,13.0,2022-100mb00000001486-1a1e0ee4543611,1.0,1.0,31.0,11.0,3.0,281.81,27.27,3.66,2.2,90.32,3.87,8.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,,0.0,0.0,0.0,31,31.00,0.0,0.0,5653.0
12,Ravindra Jadeja,CSK,8.5,AR,slow left arm orthdox,Ravindra Jadeja,46.0,12.0,0000-00-00,False,Indian,203.0,2018-100mb00000000046-06b5ba89f88b11,13.0,CSK,Chennai Super Kings,203.0,13.0,2018-100mb00000000046-06b5ba89f88b11,12.0,8.0,279.0,199.0,54.0,140.2,27.13,3.68,6.03,53.76,1.92,145.0,95.0,17.0,0.0,24.0,9.0,8.0,4.0,69.75,2.0,0.0,0.0,77*,34.88,5.0,0.0,9.0
13,Riyan Parag,RR,8.5,AR,off break,Riyan Parag,189.0,12.0,0000-00-00,True,Indian,203.0,2019-100mb00000000189-ac8c327a44b711,18.0,RR,Rajasthan Royals,203.0,18.0,2019-100mb00000000189-ac8c327a44b711,12.0,11.0,377.0,221.0,69.0,170.58,31.22,3.2,4.16,70.02,2.48,152.0,85.0,14.0,0.0,27.0,26.0,10.0,2.0,188.5,1.0,0.0,0.0,95,37.70,7.0,0.0,4445.0
14,Wanindu Hasaranga,RR,7.5,AR,leg break,Wanindu Hasaranga,377.0,9.0,0000-00-00,True,Overseas,203.0,2020-100mb00000000377-c8cec37e2dec11,18.0,RR,Rajasthan Royals,203.0,18.0,2020-100mb00000000377-c8cec37e2dec11,4.0,0.0,9.0,14.0,7.0,64.28,50.0,2.0,0.0,0.0,1.28,7.0,5.0,2.0,0.0,0.0,0.0,4.0,0.0,,0.0,0.0,0.0,4,2.25,2.0,0.0,3082.0
15,Ravichandran Ashwin,CSK,6.5,AR,off break,Ravichandran Ashwin,45.0,8.0,0000-00-00,True,Indian,203.0,2018-100mb00000000045-f658f1b6f88a11,13.0,CSK,Chennai Super Kings,203.0,13.0,2018-100mb00000000045-f658f1b6f88a11,3.0,1.0,20.0,22.0,10.0,90.9,45.45,2.2,11.0,40.0,1.66,12.0,8.0,2.0,0.0,2.0,0.0,3.0,0.0,,0.0,0.0,0.0,11,6.67,3.0,0.0,8.0
16,Sam Curran,CSK,7.0,AR,left arm medium fast,Sam Curran,138.0,5.0,0000-00-00,False,Overseas,203.0,2019-100mb00000000138-5bd8fcf6449d11,13.0,CSK,Chennai Super Kings,203.0,13.0,2019-100mb00000000138-5bd8fcf6449d11,5.0,7.0,114.0,84.0,28.0,135.71,33.33,3.0,5.6,59.64,2.03,56.0,36.0,5.0,0.0,11.0,4.0,5.0,0.0,,1.0,0.0,0.0,88,22.80,3.0,0.0,2939.0
17,Shubham Dubey,RR,6.0,BAT,,Shubham Dubey,3112.0,8.0,0000-00-00,False,Indian,203.0,2024-100mb00000003112-76787b7ddf9f11,18.0,RR,Rajasthan Royals,203.0,18.0,2024-100mb00000003112-76787b7ddf9f11,7.0,2.0,99.0,59.0,20.0,167.79,33.89,2.95,4.21,72.72,2.53,39.0,23.0,2.0,0.0,6.0,8.0,4.0,3.0,33.0,0.0,0.0,0.0,34*,24.75,1.0,0.0,20688.0
18,Noor Ahmad,CSK,8.5,BOWL,left arm wrist spin,Noor Ahmad,975.0,12.0,0000-00-00,True,Overseas,203.0,2022-100mb00000000975-56f6385ba44611,13.0,CSK,Chennai Super Kings,203.0,13.0,2022-100mb00000000975-56f6385ba44611,5.0,0.0,5.0,16.0,12.0,31.25,75.0,1.33,0.0,0.0,1.25,4.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,2,1.25,2.0,0.0,20590.0
19,Khaleel Ahmed,CSK,8.0,BOWL,left arm fast medium,Khaleel Ahmed,8.0,12.0,0000-00-00,True,Indian,203.0,2018-100mb00000000008-787fc4ece99b11,13.0,CSK,Chennai Super Kings,203.0,13.0,2018-100mb00000000008-787fc4ece99b11,2.0,0.0,1.0,2.0,1.0,50.0,50.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,1*,-,1.0,0.0,2964.0
21,Maheesh Theekshana,RR,7.0,BOWL,off break,Maheesh Theekshana,629.0,11.0,0000-00-00,True,Overseas,203.0,2021-100mb00000000629-11c540100bd311,18.0,RR,Rajasthan Royals,203.0,18.0,2021-100mb00000000629-11c540100bd311,4.0,4.0,10.0,27.0,17.0,37.03,62.96,1.58,0.0,0.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,5,5.00,0.0,0.0,20570.0
22,Tushar Deshpande,RR,7.0,BOWL,right arm medium,Tushar Deshpande,539.0,8.0,0000-00-00,False,Indian,203.0,2020-100mb00000000539-04833b65639b11,18.0,RR,Rajasthan Royals,203.0,18.0,2020-100mb00000000539-04833b65639b11,4.0,4.0,7.0,8.0,3.0,87.5,37.5,2.66,0.0,0.0,1.4,5.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,2.33,0.0,0.0,0.0,3,7.00,1.0,0.0,3257.0
23,Anshul Kamboj,CSK,6.5,BOWL,right arm medium,Anshul Kamboj,3106.0,6.0,0000-00-00,True,Indian,203.0,2024-100mb00000003106-047b3989df9b11,13.0,CSK,Chennai Super Kings,203.0,13.0,2024-100mb00000003106-047b3989df9b11,4.0,1.0,9.0,9.0,5.0,100.0,55.55,1.8,9.0,44.44,2.25,4.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,4.5,0.0,0.0,0.0,4*,4.50,0.0,0.0,20702.0
24,Fazalhaq Farooqi,RR,6.5,BOWL,left arm fast medium,Fazalhaq Farooqi,1011.0,4.0,0000-00-00,True,Overseas,203.0,2022-100mb00000001011-d957ea18a45111,18.0,RR,Rajasthan Royals,203.0,18.0,2022-100mb00000001011-d957ea18a45111,1.0,0.0,2.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2*,-,0.0,0.0,20610.0
25,Akash Madhwal,RR,6.0,BOWL,right arm fast medium,Akash Madhwal,1045.0,2.0,0000-00-00,True,Indian,203.0,2022-100mb00000001045-ff63138dd51a11,18.0,RR,Rajasthan Royals,203.0,18.0,2022-100mb00000001045-ff63138dd51a11,1.0,0.0,4.0,9.0,5.0,44.44,55.55,1.8,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4*,-,0.0,0.0,20681.0
