PlayerKey,Innings_Bat,TotalRuns_Bat,Balls_Bat,Dotballs_Bat,StrikeRate_Bat,DBFreq_Bat,BdryFreq_Bat,Fours_Bat,Sixes_Bat,Outs_Bat,FiftyPlusRuns_Bat,Centuries_Bat,BattingAverage,Catches,Stumpings,Innings_Bowler,TotalRunsConceded,DotBallPercent_Bowler,BowlingAverage,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Fours,Sixes,Wickets_Bowler,FourWickets,FiveWickets,Credit_Point,Role,Speciality,Matches,RightHandedBat,TeamCode
abhinavmanohar,4.0,49.0,50.0,24.0,98.0,2.08,10.0,2.0,3.0,4.0,0.0,0.0,12.25,4.0,0.0,,,,,,,,,,,,,,,6.0,BAT,,6.0,True,SRH
abhisheksharma,11.0,373.0,194.0,66.0,192.26,2.93,3.12,39.0,23.0,11.0,2.0,1.0,33.91,6.0,0.0,,,,,,,,,,,,,,,9.0,AR,Slow left-arm orthodox,12.0,False,SRH
aniketverma,10.0,198.0,127.0,49.0,155.9,2.59,4.88,10.0,16.0,8.0,1.0,0.0,24.75,5.0,0.0,,,,,,,,,,,,,,,7.0,BAT,,12.0,True,SRH
atharvataide,1.0,13.0,9.0,5.0,144.44,1.8,3.0,3.0,0.0,1.0,0.0,0.0,13.00,0.0,0.0,,,,,,,,,,,,,,,5.5,BAT,,1.0,False,SRH
bhuvneshwarkumar,4.0,10.0,21.0,14.0,47.61,1.5,21.0,1.0,0.0,1.0,0.0,0.0,10.00,2.0,0.0,10.0,339.0,40.35,28.25,19.0,70.2,4.47,8.92,38.0,34.0,17.0,12.0,0.0,0.0,8.0,BOWL,Right-arm medium fast,10.0,True,RCB
devduttpadikkal,10.0,247.0,164.0,59.0,150.6,2.77,4.68,21.0,14.0,9.0,2.0,0.0,27.44,1.0,0.0,,,,,,,,,,,,,,,8.0,BAT,,10.0,False,RCB
eshanmalinga,,,,,,,,,,,,,,,,5.0,170.0,31.57,21.25,14.25,64.7,4.56,8.94,19.0,20.0,5.0,8.0,0.0,0.0,7.0,BOWL,Right-arm fast medium,5.0,False,SRH
harshalpatel,4.0,21.0,26.0,7.0,80.76,3.71,0.0,0.0,0.0,2.0,0.0,0.0,10.50,2.0,0.0,11.0,370.0,31.14,24.66,15.2,61.62,4.56,9.73,38.0,36.0,14.0,15.0,2.0,0.0,8.5,BOWL,Right-arm medium,11.0,True,SRH
harshdubey,,,,,,,,,,,,,,,,1.0,44.0,20.83,44.0,24.0,68.18,4.0,11.0,4.0,3.0,3.0,1.0,0.0,0.0,5.0,AR,Slow left-arm orthodox,1.0,False,SRH
heinrichklaasen,11.0,358.0,230.0,55.0,155.65,4.18,4.89,33.0,14.0,10.0,1.0,0.0,35.80,6.0,0.0,,,,,,,,,,,,,,,9.0,WK,,12.0,True,SRH
ishankishan,11.0,231.0,164.0,54.0,140.85,3.03,5.29,22.0,9.0,9.0,0.0,1.0,25.67,7.0,0.0,,,,,,,,,,,,,,,7.5,WK,,12.0,False,SRH
jacobbethell,2.0,67.0,39.0,14.0,171.79,2.78,3.25,9.0,3.0,2.0,1.0,0.0,33.50,1.0,0.0,,,,,,,,,,,,,,,6.5,BAT,,2.0,False,RCB
jaydevunadkat,,,,,,,,,,,,,,,,5.0,110.0,36.84,15.71,13.57,52.72,7.3,6.94,15.5,10.0,3.0,7.0,0.0,0.0,6.5,BOWL,Left-arm medium,5.0,True,SRH
jiteshsharma,8.0,128.0,90.0,39.0,142.22,2.3,4.5,13.0,7.0,5.0,0.0,0.0,25.60,14.0,1.0,,,,,,,,,,,,,,,7.5,WK,,11.0,True,RCB
joshhazlewood,,,,,,,,,,,,,,,,10.0,311.0,46.6,17.27,12.27,74.59,4.42,8.44,36.5,34.0,16.0,18.0,1.0,0.0,8.5,BOWL,Right-arm fast medium,10.0,False,RCB
kamindumendis,5.0,92.0,69.0,22.0,133.33,3.13,7.66,7.0,2.0,3.0,0.0,0.0,30.67,1.0,0.0,4.0,60.0,26.19,30.0,21.0,56.66,6.0,8.57,7.0,4.0,3.0,2.0,0.0,0.0,7.0,AR,Slow left-arm orthodox,5.0,False,SRH
krunalpandya,5.0,97.0,75.0,28.0,129.33,2.67,6.81,7.0,4.0,4.0,1.0,0.0,24.25,3.0,0.0,11.0,300.0,28.57,21.42,15.0,55.33,6.0,8.57,35.0,22.0,13.0,14.0,1.0,0.0,8.0,AR,Slow Left-arm orthodox,11.0,False,RCB
liamlivingstone,6.0,87.0,68.0,31.0,127.94,2.19,6.18,4.0,7.0,5.0,1.0,0.0,17.40,3.0,0.0,5.0,76.0,18.51,38.0,27.0,47.36,6.75,8.44,9.0,6.0,2.0,2.0,0.0,0.0,6.5,AR,Leg-break,7.0,True,RCB
lungisaningidi,,,,,,,,,,,,,,,,1.0,30.0,37.5,10.0,8.0,60.0,6.0,7.5,4.0,3.0,1.0,3.0,0.0,0.0,6.5,BOWL,Right-arm fast medium,1.0,True,RCB
manojbhandage,1.0,1.0,4.0,3.0,25.0,1.33,0.0,0.0,0.0,1.0,0.0,0.0,1.00,1.0,0.0,,,,,,,,,,,,,,,6.0,AR,Right-arm medium fast,1.0,False,RCB
mohammadshami,4.0,10.0,10.0,4.0,100.0,2.5,10.0,1.0,0.0,1.0,0.0,0.0,10.00,2.0,0.0,9.0,337.0,33.33,56.16,30.0,77.74,3.15,11.23,30.0,40.0,17.0,6.0,0.0,0.0,7.5,BOWL,Right-arm fast,9.0,True,SRH
nitishkumarreddy,10.0,178.0,146.0,48.0,121.91,3.04,7.3,16.0,4.0,7.0,0.0,0.0,25.43,4.0,0.0,1.0,28.0,33.33,28.0,12.0,71.42,3.0,14.0,2.0,2.0,2.0,1.0,0.0,0.0,7.0,BAT,,11.0,True,SRH
patcummins,8.0,84.0,52.0,18.0,161.53,2.88,4.33,6.0,6.0,4.0,0.0,0.0,21.00,5.0,0.0,12.0,397.0,37.78,30.53,20.15,64.98,4.76,9.09,43.4,36.0,19.0,13.0,0.0,0.0,8.5,BOWL,Right-arm fast,12.0,True,SRH
philsalt,9.0,239.0,142.0,60.0,168.3,2.36,3.3,30.0,13.0,9.0,2.0,0.0,26.56,6.0,0.0,,,,,,,,,,,,,,,8.5,WK,,9.0,True,RCB
rajatpatidar,10.0,239.0,170.0,54.0,140.58,3.14,5.48,21.0,10.0,10.0,2.0,0.0,23.90,2.0,0.0,,,,,,,,,,,,,,,8.0,BAT,,11.0,True,RCB
rasikhdar,,,,,,,,,,,,,,,,2.0,70.0,38.88,70.0,36.0,82.85,3.0,11.66,6.0,7.0,5.0,1.0,0.0,0.0,6.0,BOWL,Right-arm fast medium,2.0,True,RCB
romarioshepherd,1.0,53.0,14.0,3.0,378.57,4.66,1.4,4.0,6.0,0.0,1.0,0.0,-,2.0,0.0,3.0,51.0,25.0,51.0,24.0,74.5,3.0,12.75,4.0,5.0,3.0,1.0,0.0,0.0,7.0,AR,Right-arm fast medium,4.0,True,RCB
suyashsharma,,,,,,,,,,,,,,,,10.0,322.0,34.18,80.5,58.5,60.24,5.57,8.25,39.0,29.0,13.0,4.0,0.0,0.0,6.5,BOWL,Leg break googly,10.0,True,RCB
timdavid,8.0,186.0,96.0,34.0,193.75,2.82,3.2,16.0,14.0,2.0,1.0,0.0,93.00,7.0,0.0,,,,,,,,,,,,,,,7.5,BAT,,11.0,True,RCB
travishead,10.0,281.0,180.0,73.0,156.11,2.46,3.6,41.0,9.0,10.0,2.0,0.0,28.10,3.0,0.0,,,,,,,,,,,,,,,8.5,BAT,,11.0,False,SRH
viratkohli,11.0,505.0,352.0,94.0,143.46,3.74,5.67,44.0,18.0,8.0,7.0,0.0,63.13,3.0,0.0,,,,,,,,,,,,,,,9.0,BAT,,11.0,True,RCB
wiaanmulder,1.0,9.0,11.0,5.0,81.81,2.2,11.0,1.0,0.0,1.0,0.0,0.0,9.00,1.0,0.0,,,,,,,,,,,,,,,6.5,AR,Right-arm mediu,1.0,True,SRH
yashdayal,,,,,,,,,,,,,,,,11.0,346.0,31.94,34.6,21.6,62.42,4.59,9.61,36.0,33.0,14.0,10.0,0.0,0.0,7.5,BOWL,Left-arm medium fast,11.0,True,RCB
zeeshanansari,,,,,,,,,,,,,,,,10.0,333.0,23.64,55.5,33.83,59.45,4.95,9.84,33.5,24.0,17.0,6.0,0.0,0.0,6.5,BOWL,Left break googly,10.0,True,SRH
