PlayerKey,TeamCode,Extras,TotalRuns,Balls,Dotballs,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,Ones_Bat,Twos_Bat,Threes_Bat,Fours_Bat,Sixes_Bat,Innings_Bat,StrikeRate_Bat,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Ones_Bowl,Twos_Bowl,Threes_Bowl,Fours_Bowl,Sixes_Bowl,Innings_Bowl,StrikeRate_Bowl,Speciality,Role,Credit_Point,Matches,RightHandedBat
abishekporel,DC,4.0,265.0,177.0,48.0,27.11,3.68,4.91,61.13,2.05,129.0,10.0,1.0,265.0,1.0,0.0,0.0,51,26.50,2.0,0.0,83.0,10.0,0.0,27.0,9.0,11.0,149.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK,7.5,11.0,False
akashmadhwal,RR,0.0,4.0,9.0,5.0,55.55,1.8,0.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,4*,-,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,44.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOWL,6.0,2.0,True
anshulkamboj,CSK,1.0,9.0,9.0,5.0,55.55,1.8,9.0,44.44,2.25,4.0,2.0,2.0,4.5,0.0,0.0,0.0,4*,4.50,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,100.0,96.0,138.0,39.0,40.62,58.0,34.5,24.0,69.56,4.57,8.62,16.0,0.0,1.0,0.0,1.0,4.0,16.0,1.0,16.0,1.0,16/1,16/1,0.0,0.0,0.0,0.0,0.0,31.0,5.0,0.0,15.0,6.0,6.0,24.0,right arm medium,BOWL,6.5,6.0,True
ashutoshsharma,DC,15.0,186.0,111.0,31.0,27.92,3.58,4.44,66.66,2.32,80.0,6.0,2.0,93.0,1.0,0.0,0.0,66*,31.00,2.0,0.0,48.0,7.0,0.0,13.0,12.0,8.0,167.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,7.0,10.0,True
ashwanikumar,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,133.0,22.0,30.55,54.0,16.62,9.0,70.67,3.78,11.08,12.0,3.0,1.0,0.0,1.0,8.0,24.0,4.0,24.0,4.0,24/4,24/4,0.0,0.0,1.0,0.0,0.0,27.0,4.0,0.0,10.0,9.0,4.0,9.0,Left-arm medium,BOWL,6.5,4.0,False
axarpatel,DC,5.0,238.0,151.0,50.0,33.11,3.02,4.31,70.58,2.35,101.0,9.0,1.0,238.0,0.0,0.0,0.0,43,26.44,4.0,0.0,62.0,4.0,0.0,21.0,14.0,10.0,157.61,186.0,253.0,60.0,32.25,129.0,50.6,37.2,58.49,6.0,8.16,31.0,3.0,0.0,1.0,0.0,5.0,19.0,2.0,19.0,2.0,19/2,19/2,0.0,0.0,0.0,0.0,0.0,88.0,7.0,0.0,19.0,12.0,10.0,37.2,Slow left-arm orthodox,AR,8.5,11.0,False
ayushmhatre,CSK,3.0,163.0,90.0,26.0,28.88,3.46,3.33,74.84,2.54,64.0,5.0,0.0,,1.0,0.0,0.0,94,32.60,3.0,0.0,33.0,4.0,0.0,20.0,7.0,5.0,181.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,7.0,5.0,True
corbinbosch,MI,0.0,47.0,32.0,12.0,37.5,2.66,5.33,63.82,2.35,20.0,2.0,0.0,,0.0,0.0,0.0,27,23.50,2.0,0.0,11.0,3.0,0.0,3.0,3.0,2.0,146.87,42.0,55.0,24.0,57.14,21.0,55.0,42.0,72.72,5.25,7.85,7.0,3.0,0.0,0.0,1.0,1.0,26.0,1.0,26.0,1.0,26/1,26/1,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,4.0,4.0,2.0,42.0,Right-arm fast medium,AR,6.5,2.0,True
deepakchahar,MI,1.0,37.0,25.0,9.0,36.0,2.77,5.0,64.86,2.31,16.0,1.0,3.0,12.33,0.0,0.0,0.0,28*,37.00,2.0,0.0,9.0,2.0,0.0,3.0,2.0,4.0,148.0,210.0,326.0,90.0,42.85,136.0,32.6,21.0,66.25,4.37,9.31,35.0,14.0,2.0,0.0,2.0,10.0,12.0,2.0,12.0,2.0,12/2,12/2,0.0,0.0,0.0,0.0,0.0,59.0,13.0,1.0,36.0,12.0,12.0,21.0,Right-arm medium,BOWL,7.5,12.0,True
devonconway,CSK,13.0,94.0,76.0,26.0,34.21,2.92,6.9,51.06,1.88,50.0,4.0,0.0,,1.0,0.0,0.0,69,23.50,2.0,0.0,32.0,7.0,0.0,9.0,2.0,4.0,123.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK,6.5,4.0,False
dewaldbrevis,CSK,3.0,126.0,77.0,24.0,31.16,3.2,4.81,65.07,2.37,53.0,4.0,0.0,,1.0,0.0,0.0,52,31.50,5.0,0.0,30.0,7.0,0.0,7.0,9.0,4.0,163.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,6.5,4.0,True
dhruvjurel,RR,8.0,249.0,170.0,55.0,32.35,3.09,5.31,63.45,2.16,115.0,8.0,3.0,83.0,1.0,0.0,0.0,70,31.13,6.0,0.0,75.0,8.0,0.0,17.0,15.0,11.0,146.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK,8.0,12.0,True
dushmanthachameera,DC,1.0,2.0,4.0,2.0,50.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2*,-,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,50.0,54.0,95.0,11.0,20.37,50.0,31.66,18.0,54.73,4.9,10.55,9.0,7.0,0.0,0.0,0.0,3.0,24.0,1.0,24.0,1.0,24/1,24/1,0.0,0.0,0.0,0.0,0.0,28.0,4.0,0.0,7.0,4.0,3.0,18.0,Right-arm fast,BOWL,6.5,4.0,True
fafduplessis,DC,20.0,168.0,131.0,49.0,37.4,2.67,5.95,60.71,2.04,82.0,6.0,0.0,,2.0,0.0,0.0,62,28.00,3.0,0.0,54.0,6.0,0.0,15.0,7.0,6.0,128.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,7.5,6.0,True
fazalhaqfarooqi,RR,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2*,-,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOWL,6.5,4.0,True
hardikpandya,MI,6.0,158.0,94.0,26.0,27.65,3.61,4.27,64.55,2.32,68.0,6.0,2.0,79.0,0.0,0.0,0.0,48*,26.33,2.0,0.0,36.0,10.0,0.0,15.0,7.0,8.0,168.08,168.0,257.0,59.0,35.11,127.0,19.76,12.92,59.92,5.25,9.17,28.0,15.0,3.0,1.0,2.0,13.0,36.0,5.0,36.0,5.0,36/5,36/5,0.0,0.0,0.0,1.0,0.0,69.0,8.0,0.0,19.0,13.0,11.0,12.92,Right-arm medium fast,AR,9.0,11.0,True
jaspritbumrah,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,214.0,84.0,43.75,112.0,16.46,14.76,56.07,7.38,6.68,32.0,4.0,0.0,0.0,4.0,13.0,22.0,4.0,22.0,4.0,22/4,22/4,0.0,0.0,1.0,0.0,0.0,72.0,11.0,0.0,18.0,8.0,8.0,14.76,Right-arm fast,BOWL,9.0,8.0,True
karnsharma,MI,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1*,-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,72.0,97.0,23.0,31.94,50.0,16.16,12.0,55.67,6.54,8.08,12.0,1.0,0.0,0.0,5.0,6.0,23.0,3.0,23.0,3.0,23/3,23/3,0.0,0.0,0.0,0.0,0.0,34.0,4.0,0.0,6.0,5.0,4.0,12.0,Leg break googly,BOWL,7.0,5.0,False
khaleelahmed,CSK,0.0,1.0,2.0,1.0,50.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.5,0.0,0.0,0.0,1*,-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,50.0,244.0,395.0,119.0,48.77,134.0,28.21,17.42,78.98,3.69,9.71,40.4,6.0,3.0,1.0,5.0,14.0,29.0,3.0,29.0,3.0,29/3,29/3,0.0,0.0,0.0,0.0,0.0,46.0,14.0,0.0,42.0,24.0,12.0,17.42,left arm fast medium,BOWL,8.0,12.0,True
klrahul,DC,11.0,381.0,268.0,76.0,28.35,3.52,5.82,56.69,1.98,192.0,8.0,2.0,190.5,3.0,0.0,0.0,93*,47.63,3.0,0.0,127.0,19.0,0.0,30.0,16.0,10.0,142.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK,9.0,10.0,True
kuldeepyadav,DC,0.0,11.0,8.0,3.0,37.5,2.66,4.0,72.72,2.2,5.0,2.0,2.0,5.5,0.0,0.0,0.0,5,5.50,0.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,137.5,234.0,263.0,87.0,37.17,149.0,21.91,19.5,47.14,8.66,6.74,39.0,2.0,0.0,0.0,1.0,12.0,22.0,3.0,22.0,3.0,22/3,22/3,0.0,0.0,0.0,0.0,0.0,103.0,17.0,0.0,19.0,8.0,10.0,19.5,Left-arm wrist spin,BOWL,8.5,11.0,False
maheeshtheekshana,RR,4.0,10.0,27.0,17.0,62.96,1.58,0.0,0.0,1.0,10.0,2.0,2.0,5.0,0.0,0.0,0.0,5,5.00,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,37.03,252.0,410.0,72.0,28.57,199.0,37.27,22.9,58.53,4.75,9.76,42.0,17.0,2.0,0.0,2.0,11.0,26.0,2.0,26.0,2.0,26/2,26/2,0.0,0.0,0.0,0.0,0.0,109.0,18.0,1.0,39.0,14.0,11.0,22.9,off break,BOWL,7.0,11.0,True
matheeshapathirana,CSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.0,373.0,70.0,31.81,180.0,31.08,18.33,57.9,5.11,10.17,36.4,29.0,1.0,1.0,5.0,12.0,36.0,3.0,36.0,3.0,36/3,36/3,0.0,0.0,0.0,0.0,0.0,92.0,14.0,1.0,21.0,22.0,10.0,18.33,right arm fast,BOWL,8.0,10.0,True
msdhoni,CSK,15.0,180.0,128.0,42.0,32.81,3.04,5.56,63.33,2.09,86.0,7.0,5.0,36.0,0.0,0.0,0.0,30*,25.71,5.0,5.0,60.0,3.0,0.0,12.0,11.0,12.0,140.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK,7.0,12.0,True
mukeshkumar,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,311.0,66.0,34.92,137.0,34.55,21.0,65.59,4.39,9.87,31.3,12.0,2.0,0.0,3.0,9.0,33.0,4.0,33.0,4.0,33/4,33/4,1.0,1.0,1.0,0.0,0.0,73.0,8.0,0.0,27.0,16.0,10.0,21.0,Right-arm medium,BOWL,7.5,10.0,True
namandhir,MI,8.0,162.0,94.0,25.0,26.59,3.76,4.08,66.66,2.34,69.0,5.0,3.0,54.0,0.0,0.0,0.0,46,32.40,12.0,0.0,40.0,5.0,0.0,15.0,8.0,8.0,172.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,7.0,12.0,True
noorahmad,CSK,0.0,5.0,16.0,12.0,75.0,1.33,0.0,0.0,1.25,4.0,4.0,1.0,5.0,0.0,0.0,0.0,2,1.25,2.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,31.25,258.0,345.0,91.0,35.27,177.0,17.25,12.9,56.23,6.29,8.02,43.0,8.0,2.0,4.0,3.0,20.0,18.0,4.0,18.0,4.0,18/4,18/4,0.0,0.0,2.0,0.0,0.0,115.0,15.0,0.0,26.0,15.0,12.0,12.9,left arm wrist spin,BOWL,8.5,12.0,True
ntilakvarma,MI,15.0,246.0,177.0,57.0,32.2,3.1,5.9,56.91,2.05,120.0,7.0,2.0,123.0,2.0,0.0,0.0,59,35.14,8.0,0.0,76.0,12.0,2.0,20.0,10.0,9.0,138.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,8.0,12.0,False
ravichandranashwin,CSK,1.0,20.0,22.0,10.0,45.45,2.2,11.0,40.0,1.66,12.0,3.0,0.0,,0.0,0.0,0.0,11,6.67,3.0,0.0,8.0,2.0,0.0,2.0,0.0,3.0,90.9,162.0,242.0,51.0,31.48,114.0,48.4,32.4,62.8,5.22,8.96,27.0,3.0,0.0,0.0,3.0,5.0,48.0,2.0,48.0,2.0,48/2,48/2,0.0,0.0,0.0,0.0,0.0,73.0,7.0,0.0,17.0,14.0,8.0,32.4,off break,AR,6.5,8.0,True
ravindrajadeja,CSK,8.0,279.0,199.0,54.0,27.13,3.68,6.03,53.76,1.92,145.0,8.0,4.0,69.75,2.0,0.0,0.0,77*,34.88,5.0,0.0,95.0,17.0,0.0,24.0,9.0,12.0,140.2,197.0,280.0,69.0,35.02,133.0,35.0,24.62,60.0,5.62,8.52,32.5,3.0,2.0,0.0,1.0,8.0,24.0,2.0,24.0,2.0,24/2,24/2,0.0,0.0,0.0,0.0,0.0,83.0,12.0,0.0,21.0,14.0,12.0,24.62,slow left arm orthdox,AR,8.5,12.0,False
riyanparag,RR,11.0,377.0,221.0,69.0,31.22,3.2,4.16,70.02,2.48,152.0,10.0,2.0,188.5,1.0,0.0,0.0,95,37.70,7.0,0.0,85.0,14.0,0.0,27.0,26.0,12.0,170.58,90.0,118.0,22.0,24.44,71.0,59.0,45.0,40.67,9.0,7.86,15.0,3.0,0.0,0.0,1.0,2.0,12.0,1.0,12.0,1.0,12/1,12/1,0.0,0.0,0.0,0.0,0.0,50.0,8.0,0.0,6.0,4.0,7.0,45.0,off break,AR,8.5,12.0,True
rohitsharma,MI,12.0,300.0,197.0,76.0,38.57,2.59,4.37,71.33,2.47,121.0,10.0,1.0,300.0,3.0,0.0,0.0,76*,30.00,1.0,0.0,66.0,10.0,0.0,28.0,17.0,11.0,152.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,8.5,11.0,True
ryanrickelton,MI,14.0,336.0,219.0,92.0,42.0,2.38,3.84,76.78,2.64,127.0,11.0,1.0,336.0,3.0,0.0,0.0,62*,30.55,10.0,3.0,62.0,8.0,0.0,42.0,15.0,12.0,153.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK,8.5,12.0,False
samcurran,CSK,7.0,114.0,84.0,28.0,33.33,3.0,5.6,59.64,2.03,56.0,5.0,0.0,,1.0,0.0,0.0,88,22.80,3.0,0.0,36.0,5.0,0.0,11.0,4.0,5.0,135.71,72.0,133.0,18.0,25.0,56.0,133.0,72.0,69.17,3.78,11.08,12.0,2.0,0.0,0.0,2.0,1.0,34.0,1.0,34.0,1.0,34/1,34/1,0.0,0.0,0.0,0.0,0.0,31.0,4.0,0.0,11.0,8.0,5.0,72.0,left arm medium fast,AR,7.0,5.0,False
sameerrizvi,DC,3.0,24.0,19.0,7.0,36.84,2.71,6.33,58.33,2.0,12.0,2.0,0.0,,0.0,0.0,0.0,20,12.00,0.0,0.0,8.0,1.0,0.0,2.0,1.0,2.0,126.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,6.0,2.0,True
sanjusamson,RR,6.0,224.0,156.0,57.0,36.53,2.73,4.72,67.85,2.26,99.0,6.0,1.0,224.0,1.0,0.0,0.0,66,37.33,2.0,1.0,61.0,4.0,1.0,23.0,10.0,7.0,143.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK,8.5,7.0,True
shimronhetmyer,RR,14.0,216.0,147.0,44.0,29.93,3.34,5.88,55.55,2.09,103.0,10.0,1.0,216.0,1.0,0.0,0.0,52,21.60,10.0,0.0,60.0,18.0,0.0,15.0,10.0,11.0,146.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,7.0,12.0,False
shivamdube,CSK,20.0,301.0,230.0,83.0,36.08,2.77,6.21,60.46,2.04,147.0,9.0,3.0,100.33,1.0,0.0,0.0,50,33.44,2.0,0.0,101.0,9.0,0.0,20.0,17.0,12.0,130.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,8.0,12.0,False
shubhamdubey,RR,2.0,99.0,59.0,20.0,33.89,2.95,4.21,72.72,2.53,39.0,4.0,3.0,33.0,0.0,0.0,0.0,34*,24.75,1.0,0.0,23.0,2.0,0.0,6.0,8.0,7.0,167.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,6.0,8.0,False
suryakumaryadav,MI,11.0,510.0,299.0,90.0,30.1,3.32,3.88,70.58,2.44,209.0,8.0,4.0,127.5,3.0,0.0,0.0,68*,63.75,4.0,0.0,114.0,18.0,0.0,51.0,26.0,12.0,170.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,9.0,12.0,True
trentboult,MI,1.0,2.0,3.0,1.0,33.33,3.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1*,2.00,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,66.66,253.0,358.0,97.0,38.33,165.0,19.88,14.05,62.01,5.27,8.49,42.1,9.0,0.0,0.0,2.0,18.0,26.0,4.0,26.0,4.0,26/4,26/4,0.0,0.0,1.0,0.0,0.0,91.0,18.0,0.0,33.0,15.0,12.0,14.05,Left-arm fast medium,BOWL,8.5,12.0,True
tristanstubbs,DC,4.0,259.0,171.0,36.0,21.05,4.75,5.34,56.37,1.91,135.0,5.0,5.0,51.8,0.0,0.0,0.0,41*,51.80,7.0,0.0,93.0,10.0,0.0,23.0,9.0,10.0,151.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,8.0,11.0,True
tushardeshpande,RR,4.0,7.0,8.0,3.0,37.5,2.66,0.0,0.0,1.4,5.0,1.0,3.0,2.33,0.0,0.0,0.0,3,7.00,1.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,87.5,144.0,270.0,40.0,27.77,123.0,45.0,24.0,63.7,3.89,11.25,24.0,19.0,0.0,0.0,1.0,6.0,44.0,3.0,44.0,3.0,44/3,44/3,0.0,0.0,0.0,0.0,0.0,56.0,10.0,1.0,25.0,12.0,8.0,24.0,right arm medium,BOWL,7.0,8.0,False
urvilpatel,CSK,1.0,31.0,11.0,3.0,27.27,3.66,2.2,90.32,3.87,8.0,1.0,0.0,,0.0,0.0,0.0,31,31.00,0.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,281.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK,5.0,1.0,True
vaibhavsuryavanshi,RR,6.0,155.0,74.0,30.0,40.54,2.46,2.84,87.74,3.52,44.0,5.0,0.0,,0.0,1.0,0.0,101,31.00,0.0,0.0,17.0,1.0,0.0,10.0,16.0,5.0,209.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,7.5,5.0,False
viprajnigam,DC,5.0,122.0,68.0,22.0,32.35,3.09,3.57,73.77,2.65,46.0,6.0,1.0,122.0,0.0,0.0,0.0,39,20.33,2.0,0.0,24.0,2.0,0.0,12.0,7.0,7.0,179.41,162.0,256.0,57.0,35.18,113.0,28.44,18.0,64.84,4.9,9.48,27.0,4.0,4.0,0.0,4.0,9.0,18.0,2.0,18.0,2.0,18/2,18/2,0.0,0.0,0.0,0.0,0.0,65.0,10.0,0.0,16.0,17.0,10.0,18.0,Leg break,AR,7.5,11.0,True
waninduhasaranga,RR,0.0,9.0,14.0,7.0,50.0,2.0,0.0,0.0,1.28,7.0,4.0,0.0,,0.0,0.0,0.0,4,2.25,2.0,0.0,5.0,2.0,0.0,0.0,0.0,4.0,64.28,204.0,311.0,53.0,25.98,154.0,31.1,20.4,58.52,5.51,9.14,34.0,3.0,0.0,1.0,4.0,10.0,35.0,4.0,35.0,4.0,35/4,35/4,0.0,0.0,1.0,0.0,0.0,103.0,10.0,1.0,20.0,17.0,9.0,20.4,leg break,AR,7.5,9.0,True
willjacks,MI,6.0,195.0,151.0,56.0,37.08,2.69,5.8,62.56,2.05,95.0,8.0,1.0,195.0,1.0,0.0,0.0,53,24.38,6.0,0.0,65.0,4.0,0.0,17.0,9.0,9.0,129.13,72.0,93.0,28.0,38.88,48.0,18.6,14.4,53.76,6.54,7.75,12.0,4.0,0.0,0.0,0.0,5.0,14.0,2.0,14.0,2.0,14/2,14/2,0.0,0.0,0.0,0.0,0.0,29.0,4.0,0.0,8.0,3.0,6.0,14.4,Off break,AR,8.0,11.0,True
yashasvijaiswal,RR,19.0,473.0,306.0,110.0,35.94,2.78,4.3,70.61,2.41,196.0,11.0,1.0,473.0,5.0,0.0,0.0,75,43.00,8.0,0.0,112.0,12.0,1.0,46.0,25.0,12.0,154.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,9.0,12.0,False
