Id,Player_Name,Team,Credit_Point,Role,Speciality,StrikerName,Matches,RightHandedBat,Nationality,TeamCode,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings
1,Yashasvi Jaiswal,RR,9.0,BAT,,Yashasvi Jaiswal,12.0,False,Indian,RR,12.0,19.0,473.0,306.0,110.0,154.57,35.94,2.78,4.3,70.61,2.41,196.0,112.0,12.0,1.0,46.0,25.0,11.0,1.0,473.0,5.0,0.0,0.0,75,43.00,8.0,0.0
2,Shivam Dube,CSK,8.0,BAT,,Shivam Dube,12.0,False,Indian,CSK,12.0,20.0,301.0,230.0,83.0,130.86,36.08,2.77,6.21,60.46,2.04,147.0,101.0,9.0,0.0,20.0,17.0,9.0,3.0,100.33,1.0,0.0,0.0,50,33.44,2.0,0.0
3,Vaibhav Suryavanshi,RR,7.5,BAT,,Vaibhav Suryavanshi,5.0,False,Indian,RR,5.0,6.0,155.0,74.0,30.0,209.45,40.54,2.46,2.84,87.74,3.52,44.0,17.0,1.0,0.0,10.0,16.0,5.0,0.0,,0.0,1.0,0.0,101,31.00,0.0,0.0
4,Ayush Mhatre,CSK,7.0,BAT,,Ayush Mhatre,5.0,True,Indian,CSK,5.0,3.0,163.0,90.0,26.0,181.11,28.88,3.46,3.33,74.84,2.54,64.0,33.0,4.0,0.0,20.0,7.0,5.0,0.0,,1.0,0.0,0.0,94,32.60,3.0,0.0
5,Shimron Hetmyer,CSK,7.0,BAT,,Shimron Hetmyer,12.0,False,Overseas,RR,11.0,14.0,216.0,147.0,44.0,146.93,29.93,3.34,5.88,55.55,2.09,103.0,60.0,18.0,0.0,15.0,10.0,10.0,1.0,216.0,1.0,0.0,0.0,52,21.60,10.0,0.0
6,Dewald Brevis,CSK,6.5,BAT,,Dewald Brevis,4.0,True,Overseas,CSK,4.0,3.0,126.0,77.0,24.0,163.63,31.16,3.2,4.81,65.07,2.37,53.0,30.0,7.0,0.0,7.0,9.0,4.0,0.0,,1.0,0.0,0.0,52,31.50,5.0,0.0
7,MS Dhoni,CSK,7.0,WK,,MS Dhoni,12.0,True,Indian,CSK,12.0,15.0,180.0,128.0,42.0,140.62,32.81,3.04,5.56,63.33,2.09,86.0,60.0,3.0,0.0,12.0,11.0,7.0,5.0,36.0,0.0,0.0,0.0,30*,25.71,5.0,5.0
8,Sanju Samson,RR,8.5,WK,,Sanju Samson,7.0,True,Indian,RR,7.0,6.0,224.0,156.0,57.0,143.58,36.53,2.73,4.72,67.85,2.26,99.0,61.0,4.0,1.0,23.0,10.0,6.0,1.0,224.0,1.0,0.0,0.0,66,37.33,2.0,1.0
9,Dhruv Jurel,RR,8.0,WK,,Dhruv Jurel,12.0,True,Indian,RR,11.0,8.0,249.0,170.0,55.0,146.47,32.35,3.09,5.31,63.45,2.16,115.0,75.0,8.0,0.0,17.0,15.0,8.0,3.0,83.0,1.0,0.0,0.0,70,31.13,6.0,0.0
10,Devon Conway,CSK,6.5,WK,,Devon Conway,4.0,False,Overseas,CSK,4.0,13.0,94.0,76.0,26.0,123.68,34.21,2.92,6.9,51.06,1.88,50.0,32.0,7.0,0.0,9.0,2.0,4.0,0.0,,1.0,0.0,0.0,69,23.50,2.0,0.0
11,Urvil Patel,CSK,5.0,WK,,Urvil Patel,1.0,True,Indian,CSK,1.0,1.0,31.0,11.0,3.0,281.81,27.27,3.66,2.2,90.32,3.87,8.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,,0.0,0.0,0.0,31,31.00,0.0,0.0
12,Ravindra Jadeja,CSK,8.5,AR,slow left arm orthdox,Ravindra Jadeja,12.0,False,Indian,CSK,12.0,8.0,279.0,199.0,54.0,140.2,27.13,3.68,6.03,53.76,1.92,145.0,95.0,17.0,0.0,24.0,9.0,8.0,4.0,69.75,2.0,0.0,0.0,77*,34.88,5.0,0.0
13,Riyan Parag,RR,8.5,AR,off break,Riyan Parag,12.0,True,Indian,RR,12.0,11.0,377.0,221.0,69.0,170.58,31.22,3.2,4.16,70.02,2.48,152.0,85.0,14.0,0.0,27.0,26.0,10.0,2.0,188.5,1.0,0.0,0.0,95,37.70,7.0,0.0
14,Wanindu Hasaranga,RR,7.5,AR,leg break,Wanindu Hasaranga,9.0,True,Overseas,RR,4.0,0.0,9.0,14.0,7.0,64.28,50.0,2.0,0.0,0.0,1.28,7.0,5.0,2.0,0.0,0.0,0.0,4.0,0.0,,0.0,0.0,0.0,4,2.25,2.0,0.0
15,Ravichandran Ashwin,CSK,6.5,AR,off break,Ravichandran Ashwin,8.0,True,Indian,CSK,3.0,1.0,20.0,22.0,10.0,90.9,45.45,2.2,11.0,40.0,1.66,12.0,8.0,2.0,0.0,2.0,0.0,3.0,0.0,,0.0,0.0,0.0,11,6.67,3.0,0.0
16,Sam Curran,CSK,7.0,AR,left arm medium fast,Sam Curran,5.0,False,Overseas,CSK,5.0,7.0,114.0,84.0,28.0,135.71,33.33,3.0,5.6,59.64,2.03,56.0,36.0,5.0,0.0,11.0,4.0,5.0,0.0,,1.0,0.0,0.0,88,22.80,3.0,0.0
17,Shubham Dubey,RR,6.0,BAT,,Shubham Dubey,8.0,False,Indian,RR,7.0,2.0,99.0,59.0,20.0,167.79,33.89,2.95,4.21,72.72,2.53,39.0,23.0,2.0,0.0,6.0,8.0,4.0,3.0,33.0,0.0,0.0,0.0,34*,24.75,1.0,0.0
18,Noor Ahmad,CSK,8.5,BOWL,left arm wrist spin,Noor Ahmad,12.0,True,Overseas,CSK,5.0,0.0,5.0,16.0,12.0,31.25,75.0,1.33,0.0,0.0,1.25,4.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,2,1.25,2.0,0.0
19,Khaleel Ahmed,CSK,8.0,BOWL,left arm fast medium,Khaleel Ahmed,12.0,True,Indian,CSK,2.0,0.0,1.0,2.0,1.0,50.0,50.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,1*,-,1.0,0.0
21,Maheesh Theekshana,RR,7.0,BOWL,off break,Maheesh Theekshana,11.0,True,Overseas,RR,4.0,4.0,10.0,27.0,17.0,37.03,62.96,1.58,0.0,0.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,5,5.00,0.0,0.0
22,Tushar Deshpande,RR,7.0,BOWL,right arm medium,Tushar Deshpande,8.0,False,Indian,RR,4.0,4.0,7.0,8.0,3.0,87.5,37.5,2.66,0.0,0.0,1.4,5.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,2.33,0.0,0.0,0.0,3,7.00,1.0,0.0
23,Anshul Kamboj,CSK,6.5,BOWL,right arm medium,Anshul Kamboj,6.0,True,Indian,CSK,4.0,1.0,9.0,9.0,5.0,100.0,55.55,1.8,9.0,44.44,2.25,4.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,4.5,0.0,0.0,0.0,4*,4.50,0.0,0.0
24,Fazalhaq Farooqi,RR,6.5,BOWL,left arm fast medium,Fazalhaq Farooqi,4.0,True,Overseas,RR,1.0,0.0,2.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2*,-,0.0,0.0
25,Akash Madhwal,RR,6.0,BOWL,right arm fast medium,Akash Madhwal,2.0,True,Indian,RR,1.0,0.0,4.0,9.0,5.0,44.44,55.55,1.8,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4*,-,0.0,0.0
27,Ryan Rickelton,MI,8.5,WK,,Ryan Rickelton,12.0,False,Overseas,MI,12.0,14.0,336.0,219.0,92.0,153.42,42.0,2.38,3.84,76.78,2.64,127.0,62.0,8.0,0.0,42.0,15.0,11.0,1.0,336.0,3.0,0.0,0.0,62*,30.55,10.0,3.0
28,K L Rahul,DC,9.0,WK,,K L Rahul,10.0,True,Indian,DC,10.0,11.0,381.0,268.0,76.0,142.16,28.35,3.52,5.82,56.69,1.98,192.0,127.0,19.0,0.0,30.0,16.0,8.0,2.0,190.5,3.0,0.0,0.0,93*,47.63,3.0,0.0
29,Abishek Porel,DC,7.5,WK,,Abishek Porel,11.0,False,Indian,DC,11.0,4.0,265.0,177.0,48.0,149.71,27.11,3.68,4.91,61.13,2.05,129.0,83.0,10.0,0.0,27.0,9.0,10.0,1.0,265.0,1.0,0.0,0.0,51,26.50,2.0,0.0
30,Surya Kumar Yadav,MI,9.0,BAT,,Surya Kumar Yadav,12.0,True,Indian,MI,12.0,11.0,510.0,299.0,90.0,170.56,30.1,3.32,3.88,70.58,2.44,209.0,114.0,18.0,0.0,51.0,26.0,8.0,4.0,127.5,3.0,0.0,0.0,68*,63.75,4.0,0.0
31,Rohit Sharma,MI,8.5,BAT,,Rohit Sharma,11.0,True,Indian,MI,11.0,12.0,300.0,197.0,76.0,152.28,38.57,2.59,4.37,71.33,2.47,121.0,66.0,10.0,0.0,28.0,17.0,10.0,1.0,300.0,3.0,0.0,0.0,76*,30.00,1.0,0.0
32,N Tilak Varma,MI,8.0,BAT,,N Tilak Varma,12.0,False,Indian,MI,9.0,15.0,246.0,177.0,57.0,138.98,32.2,3.1,5.9,56.91,2.05,120.0,76.0,12.0,2.0,20.0,10.0,7.0,2.0,123.0,2.0,0.0,0.0,59,35.14,8.0,0.0
33,Tristan Stubbs,DC,8.0,BAT,,Tristan Stubbs,11.0,True,Overseas,DC,10.0,4.0,259.0,171.0,36.0,151.46,21.05,4.75,5.34,56.37,1.91,135.0,93.0,10.0,0.0,23.0,9.0,5.0,5.0,51.8,0.0,0.0,0.0,41*,51.80,7.0,0.0
34,Faf Du Plessis,DC,7.5,BAT,,Faf Du Plessis,6.0,True,Overseas,DC,6.0,20.0,168.0,131.0,49.0,128.24,37.4,2.67,5.95,60.71,2.04,82.0,54.0,6.0,0.0,15.0,7.0,6.0,0.0,,2.0,0.0,0.0,62,28.00,3.0,0.0
35,Ashutosh Sharma,DC,7.0,BAT,,Ashutosh Sharma,10.0,True,Indian,DC,8.0,15.0,186.0,111.0,31.0,167.56,27.92,3.58,4.44,66.66,2.32,80.0,48.0,7.0,0.0,13.0,12.0,6.0,2.0,93.0,1.0,0.0,0.0,66*,31.00,2.0,0.0
36,Naman Dhir,MI,7.0,BAT,,Naman Dhir,12.0,True,Indian,MI,8.0,8.0,162.0,94.0,25.0,172.34,26.59,3.76,4.08,66.66,2.34,69.0,40.0,5.0,0.0,15.0,8.0,5.0,3.0,54.0,0.0,0.0,0.0,46,32.40,12.0,0.0
37,Hardik Pandya,MI,9.0,AR,Right-arm medium fast,Hardik Pandya,11.0,True,Indian,MI,8.0,6.0,158.0,94.0,26.0,168.08,27.65,3.61,4.27,64.55,2.32,68.0,36.0,10.0,0.0,15.0,7.0,6.0,2.0,79.0,0.0,0.0,0.0,48*,26.33,2.0,0.0
38,Axar Patel,DC,8.5,AR,Slow left-arm orthodox,Axar Patel,11.0,False,Indian,DC,10.0,5.0,238.0,151.0,50.0,157.61,33.11,3.02,4.31,70.58,2.35,101.0,62.0,4.0,0.0,21.0,14.0,9.0,1.0,238.0,0.0,0.0,0.0,43,26.44,4.0,0.0
39,Will Jacks,MI,8.0,AR,Off break,Will Jacks,11.0,True,Overseas,MI,9.0,6.0,195.0,151.0,56.0,129.13,37.08,2.69,5.8,62.56,2.05,95.0,65.0,4.0,0.0,17.0,9.0,8.0,1.0,195.0,1.0,0.0,0.0,53,24.38,6.0,0.0
40,Vipraj Nigam,DC,7.5,AR,Leg break,Vipraj Nigam,11.0,True,Indian,DC,7.0,5.0,122.0,68.0,22.0,179.41,32.35,3.09,3.57,73.77,2.65,46.0,24.0,2.0,0.0,12.0,7.0,6.0,1.0,122.0,0.0,0.0,0.0,39,20.33,2.0,0.0
41,Corbin Bosch,MI,6.5,AR,Right-arm fast medium,Corbin Bosch,2.0,True,Overseas,MI,2.0,0.0,47.0,32.0,12.0,146.87,37.5,2.66,5.33,63.82,2.35,20.0,11.0,3.0,0.0,3.0,3.0,2.0,0.0,,0.0,0.0,0.0,27,23.50,2.0,0.0
43,Kuldeep Yadav,DC,8.5,BOWL,Left-arm wrist spin,Kuldeep Yadav,11.0,False,Indian,DC,4.0,0.0,11.0,8.0,3.0,137.5,37.5,2.66,4.0,72.72,2.2,5.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,5.5,0.0,0.0,0.0,5,5.50,0.0,0.0
44,Trent Boult,MI,8.5,BOWL,Left-arm fast medium,Trent Boult,12.0,True,Overseas,MI,2.0,1.0,2.0,3.0,1.0,66.66,33.33,3.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1*,2.00,1.0,0.0
45,Deepak Chahar,MI,7.5,BOWL,Right-arm medium,Deepak Chahar,12.0,True,Indian,MI,4.0,1.0,37.0,25.0,9.0,148.0,36.0,2.77,5.0,64.86,2.31,16.0,9.0,2.0,0.0,3.0,2.0,1.0,3.0,12.33,0.0,0.0,0.0,28*,37.00,2.0,0.0
47,Karn Sharma,MI,7.0,BOWL,Leg break googly,Karn Sharma,5.0,False,Indian,MI,1.0,0.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1*,-,1.0,0.0
50,Dushmantha Chameera,DC,6.5,BOWL,Right-arm fast,Dushmantha Chameera,4.0,True,Overseas,DC,2.0,1.0,2.0,4.0,2.0,50.0,50.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2*,-,1.0,0.0
52,Sameer Rizvi,DC,6.0,BAT,,Sameer Rizvi,2.0,True,Indian,DC,2.0,3.0,24.0,19.0,7.0,126.31,36.84,2.71,6.33,58.33,2.0,12.0,8.0,1.0,0.0,2.0,1.0,2.0,0.0,,0.0,0.0,0.0,20,12.00,0.0,0.0
