BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,ClientPlayerID,Credit
Prasidh Krishna,True,Indian,GT,Gujarat Titans,11,203,11,35,2019-100mb00000000150-3a51ee2844a911,258,329,112,43.41,153,16.45,12.9,12.9,62.0,5.73,7.65,43.0,86,14,1,33,12,7,0,0,6,20,41,4,41,4,41/4,41/4,0,0,1,0,0,5105,9.0
Noor Ahmad,True,Overseas,CSK,Chennai Super Kings,12,203,12,13,2022-100mb00000000975-56f6385ba44611,258,345,91,35.27,177,17.25,12.9,12.9,56.23,6.29,8.02,43.0,115,15,0,26,15,8,2,4,3,20,18,4,18,4,18/4,18/4,0,0,2,0,0,20590,8.0
Josh Hazlewood,False,Overseas,RCB,Royal Challengers Bengaluru,10,203,10,19,2018-100mb00000000036-2af54408f88a11,221,311,103,46.6,122,17.27,12.27,12.27,74.59,4.42,8.44,36.5,61,7,0,34,16,4,0,0,2,18,33,4,33,4,33/4,33/4,0,0,1,0,0,857,8.0
Trent Boult,True,Overseas,MI,Mumbai Indians,12,203,12,17,2019-100mb00000000066-573f78a31e3711,253,358,97,38.33,165,19.88,14.05,14.05,62.01,5.27,8.49,42.1,91,18,0,33,15,9,0,0,2,18,26,4,26,4,26/4,26/4,0,0,1,0,0,969,8.0
Varun Chakaravarthy,True,Indian,KKR,Kolkata Knight Riders,12,203,12,16,2019-100mb00000000140-a41b85f2449d11,282,329,115,40.78,172,19.35,16.58,16.58,55.31,7.05,7.0,47.0,110,18,0,29,11,5,0,6,1,17,22,3,22,3,22/3,22/3,0,0,0,0,0,5432,8.0
Arshdeep Singh,False,Indian,PBKS,Punjab Kings,11,203,10,15,2019-100mb00000000125-2485f88b449911,218,291,96,44.03,134,18.18,13.62,13.62,63.91,5.06,8.0,36.2,67,11,1,36,7,12,0,0,5,16,16,3,16,3,16/3,16/3,1,1,0,0,0,4698,8.0
Vaibhav Arora,True,Indian,KKR,Kolkata Knight Riders,11,203,11,16,2021-100mb00000000583-8f4c0c4491dd11,231,391,84,36.36,160,24.43,14.43,14.43,70.58,3.85,10.15,38.3,73,13,1,42,18,13,0,0,0,16,29,3,29,3,29/3,29/3,1,1,0,0,0,14859,8.0
Mohammed Siraj,True,Indian,GT,Gujarat Titans,11,203,11,35,2019-100mb00000000063-d9aa7a01187311,246,369,114,46.34,151,24.6,16.4,16.4,72.62,4.16,9.0,41.0,65,10,0,43,16,19,0,0,13,15,17,4,17,4,17/4,17/4,0,0,1,0,0,3840,8.5
Harshit Rana,True,Indian,KKR,Kolkata Knight Riders,12,203,12,16,2022-100mb00000001013-30676520bcc011,246,408,100,40.65,158,27.2,16.4,16.4,73.03,3.84,9.95,41.0,70,14,0,43,21,10,2,1,3,15,25,3,25,3,25/3,25/3,0,0,0,0,0,20626,8.0
Sai Kishore,False,Indian,GT,Gujarat Titans,11,203,11,35,2020-100mb00000000544-980117aa639c11,177,247,55,31.07,129,17.64,12.64,12.64,53.44,6.8,8.37,29.3,85,10,1,12,14,7,0,0,2,14,30,3,30,3,30/3,30/3,0,0,0,0,0,7123,8.0
Krunal Pandya,False,Indian,RCB,Royal Challengers Bengaluru,11,203,11,19,2018-100mb00000000017-5e389774e99c11,210,300,60,28.57,156,21.42,15.0,15.0,55.33,6.0,8.57,35.0,104,11,0,22,13,6,0,0,1,14,45,4,45,4,45/4,45/4,0,0,1,0,0,3183,8.0
Harshal Patel,True,Indian,SRH,Sunrisers Hyderabad,10,203,10,20,2019-100mb00000000114-8c98068c449611,204,321,61,29.9,158,22.92,14.57,14.57,59.81,4.85,9.44,34.0,92,11,0,30,12,14,1,2,2,14,28,4,28,4,28/4,28/4,0,0,2,0,0,157,8.0
Khaleel Ahmed,True,Indian,CSK,Chennai Super Kings,12,203,12,13,2018-100mb00000000008-787fc4ece99b11,244,395,119,48.77,134,28.21,17.42,17.42,78.98,3.69,9.71,40.4,46,14,0,42,24,6,3,1,5,14,29,3,29,3,29/3,29/3,0,0,0,0,0,2964,8.0
Yuzvendra Chahal,True,Indian,PBKS,Punjab Kings,11,203,10,15,2018-100mb00000000010-b76159ade99b11,198,324,55,27.77,150,23.14,14.14,14.14,61.11,4.95,9.81,33.0,93,9,1,21,19,7,0,0,1,14,28,4,28,4,28/4,28/4,0,0,2,0,0,111,8.0
Mitchell Starc,False,Overseas,DC,Delhi Capitals,11,203,10,14,2018-100mb00000000031-b334eaf6f08611,216,366,85,39.35,142,26.14,15.42,15.42,75.4,3.48,10.16,36.0,67,10,0,48,14,8,3,0,13,14,35,5,35,5,35/5,35/5,0,0,0,1,0,490,9.0
Jasprit Bumrah,True,Indian,MI,Mumbai Indians,8,203,8,17,2018-100mb00000000009-92bfdfe9e99b11,192,214,84,43.75,112,16.46,14.76,14.76,56.07,7.38,6.68,32.0,72,11,0,18,8,4,0,0,4,13,22,4,22,4,22/4,22/4,0,0,1,0,0,1124,8.0
Pat Cummins,True,Overseas,SRH,Sunrisers Hyderabad,11,203,11,20,2018-100mb00000000033-d93110bbf88911,238,363,92,38.65,156,27.92,18.3,18.3,66.11,4.66,9.15,39.4,80,15,1,33,18,9,1,0,4,13,19,3,19,3,19/3,19/3,0,0,0,0,0,488,8.0
Hardik Pandya,True,Indian,MI,Mumbai Indians,11,203,11,17,2018-100mb00000000054-e3ebefa2050a11,168,257,59,35.11,127,19.76,12.92,12.92,59.92,5.25,9.17,28.0,69,8,0,19,13,15,3,1,2,13,36,5,36,5,36/5,36/5,0,0,0,1,0,2740,8.0
Kuldeep Yadav,False,Indian,DC,Delhi Capitals,11,203,10,14,2018-100mb00000000014-227bc550e99c11,234,263,87,37.17,149,21.91,19.5,19.5,47.14,8.66,6.74,39.0,103,17,0,19,8,2,0,0,1,12,22,3,22,3,22/3,22/3,0,0,0,0,0,261,8.0
Digvesh Singh,True,Indian,LSG,Lucknow Super Giants,11,203,11,77,2024-100mb00000003565-6cf0c233abda11,264,356,85,32.19,186,29.66,22.0,22.0,56.17,6.0,8.09,44.0,124,13,1,32,12,6,1,1,5,12,30,2,30,2,30/2,30/2,0,0,0,0,0,5847,8.0
Bhuvneshwar Kumar,True,Indian,RCB,Royal Challengers Bengaluru,10,203,10,19,2018-100mb00000000015-3501d442e99c11,228,339,92,40.35,141,28.25,19.0,19.0,70.2,4.47,8.92,38.0,74,11,0,34,17,5,0,0,4,12,33,3,33,3,33/3,33/3,0,0,0,0,0,116,8.0
Matheesha Pathirana,True,Overseas,CSK,Chennai Super Kings,10,203,10,13,2022-100mb00000001014-1f0cfb3dc17911,220,373,70,31.81,180,31.08,18.33,18.33,57.9,5.11,10.17,36.4,92,14,1,21,22,29,1,1,5,12,36,3,36,3,36/3,36/3,0,0,0,0,0,20627,8.0
Shardul Thakur,True,Indian,LSG,Lucknow Super Giants,9,203,9,77,2019-100mb00000000105-4c526de743fe11,180,336,58,32.22,144,28.0,15.0,15.0,69.64,3.6,11.2,30.0,66,7,0,33,17,21,1,0,1,12,34,4,34,4,34/4,34/4,0,0,1,0,0,1745,8.0
Marco Jansen,True,Overseas,PBKS,Punjab Kings,11,203,11,15,2021-100mb00000000586-8238f85f91de11,217,318,89,41.01,137,28.9,19.72,19.72,66.03,4.82,8.79,36.1,67,16,0,30,15,8,1,0,11,11,17,3,17,3,17/3,17/3,0,0,0,0,0,17068,8.0
Jofra Archer,True,Overseas,RR,Rajasthan Royals,12,203,12,18,2019-100mb00000000181-80151ce844b611,273,431,110,40.29,181,39.18,24.81,24.81,70.53,4.07,9.47,45.3,84,13,2,49,18,17,2,10,4,11,25,3,25,3,25/3,25/3,1,1,0,0,0,3502,8.0
Maheesh Theekshana,True,Overseas,RR,Rajasthan Royals,11,203,11,18,2021-100mb00000000629-11c540100bd311,252,410,72,28.57,199,37.27,22.9,22.9,58.53,4.75,9.76,42.0,109,18,1,39,14,17,2,0,2,11,26,2,26,2,26/2,26/2,0,0,0,0,0,20570,8.0
Sunil Narine,False,Overseas,KKR,Kolkata Knight Riders,11,203,11,16,2019-100mb00000000156-a6b6f42c44aa11,246,309,81,32.92,170,30.9,24.6,24.6,49.19,8.48,7.53,41.0,123,13,1,11,18,3,2,0,6,10,13,3,13,3,13/3,13/3,0,0,0,0,0,203,8.0
Wanindu Hasaranga,True,Overseas,RR,Rajasthan Royals,9,203,9,18,2020-100mb00000000377-c8cec37e2dec11,204,311,53,25.98,154,31.1,20.4,20.4,58.52,5.51,9.14,34.0,103,10,1,20,17,3,0,1,4,10,35,4,35,4,35/4,35/4,0,0,1,0,0,3082,8.0
Deepak Chahar,True,Indian,MI,Mumbai Indians,12,203,12,17,2019-100mb00000000091-8640595343ec11,210,326,90,42.85,136,32.6,21.0,21.0,66.25,4.37,9.31,35.0,59,13,1,36,12,14,2,0,2,10,12,2,12,2,12/2,12/2,0,0,0,0,0,140,8.0
Yash Dayal,True,Indian,RCB,Royal Challengers Bengaluru,11,203,11,19,2022-100mb00000000978-bc824605a44611,216,346,69,31.94,155,34.6,21.6,21.6,62.42,4.59,9.61,36.0,86,16,0,33,14,6,2,1,1,10,18,2,18,2,18/2,18/2,0,0,0,0,0,20591,8.0
Avesh Khan,True,Indian,LSG,Lucknow Super Giants,10,203,10,77,2019-100mb00000000109-5cc123ab449411,225,379,64,28.44,167,37.9,22.5,22.5,66.49,4.16,10.1,37.3,93,14,0,36,18,6,0,0,0,10,37,3,37,3,37/3,37/3,0,0,0,0,0,1561,8.0
Vipraj Nigam,True,Indian,DC,Delhi Capitals,11,203,10,14,2024-100mb00000003560-cd0dc81babd711,162,256,57,35.18,113,28.44,18.0,18.0,64.84,4.9,9.48,27.0,65,10,0,16,17,4,4,0,4,9,18,2,18,2,18/2,18/2,0,0,0,0,0,22053,8.0
Mukesh Kumar,True,Indian,DC,Delhi Capitals,10,203,10,14,2022-100mb00000001462-cbc59298427c11,189,311,66,34.92,137,34.55,21.0,21.0,65.59,4.39,9.87,31.3,73,8,0,27,16,12,2,0,3,9,33,4,33,4,33/4,33/4,1,1,1,0,0,5622,8.0
Sandeep Sharma,True,Indian,RR,Rajasthan Royals,10,203,10,18,2019-100mb00000000220-18a6ceb644c011,219,361,54,24.65,185,40.11,24.33,24.33,54.29,5.21,9.89,36.3,104,19,1,28,14,19,1,0,2,9,21,2,21,2,21/2,21/2,0,0,0,0,0,1112,8.0
Ravi Bishnoi,True,Indian,LSG,Lucknow Super Giants,10,203,10,77,2020-100mb00000000520-c2b1e0df638711,216,375,67,31.01,159,41.66,24.0,24.0,67.73,4.07,10.41,36.0,81,15,0,32,21,10,0,0,1,9,18,2,18,2,18/2,18/2,0,0,0,0,0,19351,8.0
Ravindra Jadeja,False,Indian,CSK,Chennai Super Kings,12,203,12,13,2018-100mb00000000046-06b5ba89f88b11,197,280,69,35.02,133,35.0,24.62,24.62,60.0,5.62,8.52,32.5,83,12,0,21,14,3,2,0,1,8,24,2,24,2,24/2,24/2,0,0,0,0,0,9,8.0
Rashid Khan,True,Overseas,GT,Gujarat Titans,11,203,11,35,2019-100mb00000000218-42d9d6f544bf11,246,373,74,30.08,176,46.62,30.75,30.75,60.58,5.59,9.09,41.0,112,16,1,19,25,4,0,0,7,8,25,2,25,2,25/2,25/2,0,0,0,0,0,2885,9.0
Ashwani Kumar,False,Indian,MI,Mumbai Indians,4,203,4,17,2024-100mb00000003569-45ffd8bdabdc11,72,133,22,30.55,54,16.62,9.0,9.0,70.67,3.78,11.08,12.0,27,4,0,10,9,3,1,0,1,8,24,4,24,4,24/4,24/4,0,0,1,0,0,22030,8.0
Andre Russell,True,Overseas,KKR,Kolkata Knight Riders,12,203,8,16,2019-100mb00000000141-e67c41d144a711,97,183,27,27.83,74,22.87,12.12,12.12,73.22,3.46,11.31,16.1,41,2,0,17,11,2,2,1,0,8,21,2,21,2,21/2,21/2,0,0,0,0,0,177,8.0
Jaydev Unadkat,True,Indian,SRH,Sunrisers Hyderabad,5,203,5,20,2019-100mb00000000180-1352e0b244b611,95,110,35,36.84,62,15.71,13.57,13.57,52.72,7.3,6.94,15.5,44,3,0,10,3,2,0,0,0,7,35,3,35,3,35/3,35/3,0,0,0,0,0,86,8.0
Karn Sharma,False,Indian,MI,Mumbai Indians,5,203,4,17,2019-100mb00000000098-7a8c366b43f611,72,97,23,31.94,50,16.16,12.0,12.0,55.67,6.54,8.08,12.0,34,4,0,6,5,1,0,0,5,6,23,3,23,3,23/3,23/3,0,0,0,0,0,1118,8.0
Moeen Ali,False,Overseas,KKR,Kolkata Knight Riders,6,203,5,16,2019-100mb00000000206-501d92f644bb11,96,136,29,30.2,70,22.66,16.0,16.0,54.41,6.85,8.5,16.0,47,6,0,5,9,3,0,0,0,6,23,2,23,2,23/2,23/2,1,1,0,0,0,1735,8.0
Vignesh Puthur,True,Indian,MI,Mumbai Indians,5,203,5,17,2024-100mb00000003566-b0cbccf8abdb11,72,109,24,33.33,49,18.16,12.0,12.0,64.22,5.53,9.08,12.0,32,3,0,4,9,1,0,0,0,6,32,3,32,3,32/3,32/3,0,0,0,0,0,22266,8.0
Eshan Malinga,False,Overseas,SRH,Sunrisers Hyderabad,4,203,4,20,2024-100mb00000003339-537276b84ff411,90,142,26,28.88,68,23.66,15.0,15.0,64.78,4.28,9.46,15.0,40,3,0,17,4,4,0,0,2,6,36,2,36,2,36/2,36/2,0,0,0,0,0,22228,8.0
